,/g/11hy9m64ws,/g/11j30ybfx6,/g/11q4gh4b8f,/m/0b7k33,/m/0cycc,9mm,Naloxone,bronchiolitis,drug overdose,heat exhaustion,heat stroke,influenza,narcan,nirsevimab,overdose,rsv,shotgun
US-IN-581,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IN-582,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MI-583,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-VA-584,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MI-588,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-FL-592,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-OH-596,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WV-597,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WV-598,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-600,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IN-602,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-603,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-604,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-KS-605,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-GA-606,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-609,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IL-610,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MN-611,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-612,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WI-613,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-616,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-WI-617,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-618,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-619,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-LA-622,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-623,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-NE-624,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-625,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-626,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-627,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-LA-628,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-AL-630,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-631,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-632,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-633,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-634,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-635,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-636,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-IA-637,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-MO-638,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TN-639,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TN-640,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-TX-641,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-LA-642,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
US-LA-643,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
