,/g/11hy9m64ws,/g/11j30ybfx6,/g/11q4gh4b8f,/m/0b7k33,/m/0cycc,9mm,Naloxone,bronchiolitis,drug overdose,heat exhaustion,heat stroke,influenza,narcan,nirsevimab,overdose,rsv,shotgun
US-NH-500,53.74254921195284,30.155240472593785,3.237127150063893,14.561957531320774,2871.578162034598,689.1971484518148,17.662555433556335,4.518891905001862,20.0727048711384,26.041152671608508,37.36021123511435,172.744162652698,28.979694381573086,2.486588995177533,461.8412138882186,252.89184712408806,1017.2956265291753
US-NY-501,48.09270808502831,27.60044582950457,4.263031762669859,17.42837214744406,2815.4343042106275,314.7545488416774,32.97418885008997,19.68053377741383,32.724067533610395,22.785447622601755,45.12360162639591,197.65401856535934,58.56136834409696,0.8416934850567065,488.5611147319741,259.41629675446296,671.7376392444712
US-NY-502,102.34515028684953,19.477756398925234,0.0,12.618235112507623,2347.6476972574183,138.99775411897053,62.356952958634075,3.6815738447208637,4.192963064043596,24.911803130504545,54.8991834095712,70.34460642393907,31.398285970182645,31.841288992924678,127.92195717421153,301.05784824364633,529.9894497565067
US-GA-503,57.95624745467366,15.657891057167886,0.31959005945675095,2.4662344839390506,2257.5365606947216,982.9820916192948,23.293094456746122,18.909014759995692,13.879158727820892,4.971684987574855,17.24804940191721,46.871928623327456,25.27636965089933,8.909067939119232,224.18934063420934,239.75256050213275,1149.7356961973992
US-PA-504,54.429622628086925,32.45516554724328,3.599433992425593,17.115017788241893,2946.8387604707764,630.0375382936762,37.997034147052524,16.358057726384484,25.101032763139596,32.16590801263273,48.043411398725105,191.59662186338417,72.31115063576583,0.9995027344807094,579.9289421708486,305.2340312871317,897.9780441528694
US-MI-505,67.08310525445695,37.79882627422198,0.8450379035305673,16.508438957400017,2898.5872187659097,840.2907312189508,21.51440842340862,6.264012957621334,11.175826243444618,22.943264434561996,39.554994925019365,283.0699606694289,119.31530833951413,2.039250255879065,526.4774025160533,352.94636733606677,1057.6987896495707
US-NH-506,59.570369923746874,40.12160136731735,4.477696902921462,17.2697537746002,3126.2800601227136,440.279390636681,29.89055814069245,11.820597928326592,25.242018419641084,25.45317919619626,48.97548344119378,216.3095927314488,78.26942593332336,1.0840554841031609,579.4845984392474,320.39001487562524,721.6935966063983
US-SC-507,46.3466968366249,20.1160889701673,0.0,8.835756212721723,2216.562169841273,928.918266365829,7.297202907360028,13.045975326757574,65.79160501731211,13.450794467003146,16.586935395439433,41.077628357134344,13.845246929251227,77.15232258693088,255.09728939884786,215.70277279143986,1131.6942320318092
US-PA-508,73.02639822612235,42.84080044132728,0.9615457286896589,9.633256373437758,3032.1246499280587,862.220568232547,15.494567507202808,6.918659642672989,13.21330331236947,22.254727919859498,33.88638207796737,166.99226676594952,64.8970190037754,0.9261978694664095,592.8640325112647,315.4423272450374,1169.7597464885466
US-OH-509,78.5035414424529,18.05754339186883,0.0,11.052621608023868,2317.8360889308824,917.7368655975448,5.347701381991048,78.56546944662006,2.5341946175470715,40.545395193145055,16.631553722759556,241.7049718405555,44.833120185266004,16.969967731932748,253.29159849799797,240.0549909429516,1015.6929668300909
US-OH-510,68.80989011569146,35.829800392936384,1.1330496261000769,17.276755771776294,2877.913773150506,958.8329645501371,20.174544491337986,6.384533339938707,15.638192338872445,22.584161858095584,35.50895239231404,216.76936795521,58.700174013228704,1.3593754343168496,568.008837474687,338.68045457826565,1096.6711328841595
US-WV-511,48.65380138156326,31.783588521980665,4.336664783105382,11.691938154702175,2969.25203495688,608.7992369287757,35.72768101363265,9.070647039382244,23.716101228026314,29.265461997517868,46.05432314230578,288.61704787636097,57.306070238790525,0.20115209515397167,489.2923930057834,299.9623611980551,910.6937595901247
US-MD-512,64.49374684896367,38.64291580690448,0.37613279765143737,10.359066413062912,3088.2347108926133,537.7348414063165,19.61977213600774,5.784725202111851,9.608429265184236,19.84602723587283,31.434593571092343,160.60212723793072,171.52412294854201,0.9800357998303262,517.2101149149274,301.12010195360574,949.9691855834864
US-MI-513,72.8647094882139,21.865683137590015,0.0,5.9433731161316015,2597.10593207125,896.8645788609457,24.9933252611058,5.68022315492278,7.978693312763953,29.87079886773316,35.50626414583254,284.92356805050156,59.50229465125091,5.568912350952762,420.0528206080538,341.99818130641165,1238.2560091050743
US-PA-514,61.49045801405831,29.926284110651956,0.0,9.11364228988182,2667.3488671578557,387.11665568093315,7.383448592859461,4.463395529426901,12.153988653891018,13.182611573631837,23.8674022984581,129.01062814295457,52.19200797850913,3.55429048012583,482.22891964590724,319.26926592053695,1029.2864714557713
US-OH-515,54.72665228965284,27.683035856336094,0.5090065475636858,7.828825467822092,2913.286703731532,981.6590287058701,13.739056218839295,4.470319642182911,7.041381807879233,20.086536935236953,42.46941534419681,140.41708202299213,62.98103982213078,4.851725485454889,501.902613954858,267.06102232334996,1133.1533271298017
